거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
리베로시스템주식회사,703002,7000.0,7000.0,7000.0,7000.0,5,1,"7,000(고정)",7000.0,0.0
마로니에북스,001002,55000.0,55000.0,55000.0,55000.0,1,1,"55,000(고정)",,
마로니에북스,001006,150000.0,150000.0,150000.0,150000.0,1,1,"150,000(고정)",,
마로니에북스,012004,100.0,100.0,100.0,100.0,1,1,100(고정),,
마로니에북스,703001,7000.0,7000.0,7000.0,7000.0,2,1,"7,000(고정)",,
마로니에북스,706001,0.6,0.6,0.6,0.6,1,1,0(고정),,
마로니에북스,706002,30.0,30.0,30.0,30.0,1,1,30(고정),,
마음지기,001002,55000.0,55000.0,55000.0,55000.0,1,1,"55,000(고정)",,
마음지기,002001,150000.0,150000.0,150000.0,150000.0,1,1,"150,000(고정)",,
마음지기,303001,7000.0,7000.0,7000.0,7000.0,1,1,"7,000(고정)",2500.0,180.0
마음지기,303002,10000.0,10000.0,10000.0,10000.0,1,1,"10,000(고정)",2500.0,300.0
마음지기,703002,7000.0,7000.0,7000.0,7000.0,2,1,"7,000(고정)",7000.0,0.0
마음지기,706001,250000.0,250000.0,250000.0,250000.0,1,1,"250,000(고정)",,
마음지기,706002,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
만듦,001,45000.0,40000.0,40000.0,50000.0,2,2,"40,000~50,000",,
만듦,001001,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
만듦,001002,25042.5,50.0,45.0,70000.0,22,9,"45~70,000",,
만듦,001008,80.0,80.0,80.0,80.0,1,1,80(고정),,
만듦,003002,100.0,100.0,100.0,100.0,1,1,100(고정),,
만듦,003003,100.0,100.0,100.0,100.0,1,1,100(고정),,
만듦,003005,105.0,100.0,100.0,110.0,2,2,100~110,,
만듦,003010,100.0,100.0,100.0,100.0,1,1,100(고정),,
만듦,011,12000.0,50.0,50.0,17000.0,5,5,"50~17,000",,
만듦,042,15.5,15.0,15.0,75000.0,26,10,"15~75,000",,
만듦,043,100000.0,100000.0,100000.0,100000.0,1,1,"100,000(고정)",,
만듦,052,35000.0,50000.0,40.0,80000.0,29,9,"40~80,000",,
만듦,303001,7500.0,7000.0,5000.0,15000.0,16,6,"5,000~15,000",2500.0,200.0
만듦,303002,11250.0,10000.0,10000.0,25000.0,8,4,"10,000~25,000",2500.0,350.0
만듦,303003,20000.0,20000.0,20000.0,20000.0,1,1,"20,000(고정)",,
만듦,703002,8000.0,8000.0,8000.0,10000.0,25,2,"8,000~10,000",7000.0,14.3
만듦,707001,91000.0,30000.0,30000.0,170000.0,10,7,"30,000~170,000",,
만듦,707002,6000.0,6000.0,6000.0,6000.0,4,1,"6,000(고정)",,
만듦,707003,15500.0,6000.0,6000.0,25000.0,2,2,"6,000~25,000",,
만듦,MA-04323,53000.0,53000.0,53000.0,53000.0,1,1,"53,000(고정)",,
만듦,MA-06089,180000.0,180000.0,180000.0,180000.0,1,1,"180,000(고정)",,
만듦,MA-06320,278000.0,278000.0,278000.0,278000.0,1,1,"278,000(고정)",,
만듦,MA-06333,50000.0,50000.0,50000.0,50000.0,2,1,"50,000(고정)",,
만듦,MA-06447,67500.0,67500.0,67500.0,67500.0,1,1,"67,500(고정)",,
만듦,MA-06927,75000.0,75000.0,75000.0,75000.0,1,1,"75,000(고정)",,
만듦,MA-07049,278000.0,278000.0,278000.0,278000.0,2,1,"278,000(고정)",,
만듦,MA-07719,115000.0,115000.0,115000.0,115000.0,1,1,"115,000(고정)",,
맥미디어,303002,8000.0,8000.0,8000.0,8000.0,2,1,"8,000(고정)",2500.0,220.0
맥미디어,703002,7000.0,7000.0,7000.0,7000.0,2,1,"7,000(고정)",7000.0,0.0
맥미디어,706028,100250.0,500.0,500.0,200000.0,2,2,"500~200,000",,
맥미디어,706034,125225.0,450.0,450.0,250000.0,2,2,"450~250,000",,
맥미디어,707009,56000.0,24000.0,24000.0,88000.0,2,2,"24,000~88,000",,
맥미디어,MA00225,143300.0,143300.0,143300.0,143300.0,2,1,"143,300(고정)",,
메가스터디 (주),703001,7000.0,7000.0,7000.0,7000.0,7,1,"7,000(고정)",,
모노북스,001002,55000.0,55000.0,55000.0,55000.0,1,1,"55,000(고정)",,
모노북스,001006,80000.0,30000.0,30000.0,130000.0,2,2,"30,000~130,000",,
모노북스,303001,3500.0,3500.0,3500.0,3500.0,1,1,"3,500(고정)",2500.0,40.0
모노북스,303002,7000.0,7000.0,7000.0,7000.0,1,1,"7,000(고정)",2500.0,180.0
모노북스,703002,7000.0,7000.0,7000.0,7000.0,2,1,"7,000(고정)",7000.0,0.0
모노북스,706001,200000.0,200000.0,200000.0,200000.0,1,1,"200,000(고정)",,
모노북스,706002,50.0,50.0,50.0,50.0,1,1,50(고정),,
모노북스,707001,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
모노북스,707011,20000.0,20000.0,20000.0,20000.0,1,1,"20,000(고정)",,
물고기하나아이,001,150000.0,150000.0,150000.0,150000.0,1,1,"150,000(고정)",,
물고기하나아이,002,5000.0,5000.0,5000.0,5000.0,1,1,"5,000(고정)",,
물고기하나아이,005003,70000.0,70000.0,70000.0,70000.0,1,1,"70,000(고정)",,
물고기하나아이,023,140000.0,140000.0,140000.0,140000.0,1,1,"140,000(고정)",,
물고기하나아이,303001,5500.0,5500.0,5500.0,5500.0,1,1,"5,500(고정)",2500.0,120.0
물고기하나아이,303002,7000.0,7000.0,7000.0,7000.0,1,1,"7,000(고정)",2500.0,180.0
물고기하나아이,703002,7000.0,7000.0,7000.0,7000.0,2,1,"7,000(고정)",7000.0,0.0
물고기하나아이,706010,270000.0,270000.0,270000.0,270000.0,1,1,"270,000(고정)",,
물고기하나아이,MA-04281,231800.0,231800.0,231800.0,231800.0,1,1,"231,800(고정)",,
물고기하나아이,MA00657,109000.0,109000.0,109000.0,109000.0,1,1,"109,000(고정)",,
물고기하나아이,MA00688,239000.0,239000.0,239000.0,239000.0,1,1,"239,000(고정)",,
미술과비평 주식회사,001001,50000.0,50000.0,50000.0,50000.0,3,1,"50,000(고정)",,
미술과비평 주식회사,001002,55000.0,55000.0,55000.0,55000.0,2,1,"55,000(고정)",,
미술과비평 주식회사,001006,120000.0,120000.0,120000.0,120000.0,2,1,"120,000(고정)",,
미술과비평 주식회사,303001,4000.0,4000.0,4000.0,5000.0,9,2,"4,000~5,000",2500.0,60.0
미술과비평 주식회사,303002,5000.0,5000.0,5000.0,5000.0,2,1,"5,000(고정)",2500.0,100.0
